기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
한국딥러닝,-,-,"서초구 강남대로 527, 브랜드칸 타워 6층",딥러닝,"해당 포지션은 세일즈/전략 파트의 파트장으로서 AI 솔루션 및 3D DX 등 한국딥러닝의 세일즈와 사업전략을 총괄하는 자리입니다.단기적으로는 고객 발굴부터 계약체결까지의 B2B 세일즈 전반을 총괄합니다.중장기적으로는 세일즈/전략 파트의 팀을 구성하고 리딩하며, 시장 상황에 맞춰 영업전략 및 사업전략을 구상하고 실행시킵니다.저희 한국딥러닝의 솔루션들이 기업들의 어떤 Pain Point를 해결해 줄 수 있을지 분석하여 고객과 회사가 모두 Win-Win할 수 있는 전략을 이끌어내는 핵심적인 포지션입니다.■ 이런 일을 하게 됩니다- 전사 세일즈 전략 및 프로세스를 확립하고 미래 방향성을 설정합니다.- AI 솔루션과 3D DX 기술을 기업에서 어떤 방식으로 활용할 수 있을지 분석합니다.- 다양한 분야의 기업들을 대상으로 사업/영업 방법을 구상합니다. (민간 B2B, 파트너십, 입찰, R&D 사업, 정부지원 사업 등)- 잠재고객을 대상으로 제안부터 계약 체결까지 AtoZ를 리드합니다.- 세일즈/전략팀을 구성하고 코칭 및 관리를 통해 성장과 성과를 이끌어냅니다.","■ 이런 분과 함께하고 싶습니다- 풍부한 SI 영업, AI 솔루션 영업 경험이 있으신 분- 적극적으로 사업 기회를 발굴하고 가치 제안을 하실 수 있는 분■ 이런 분이면 더 좋습니다.- 다양한 산업 분야에 걸쳐 네트워크를 갖고 계신 분- 컴퓨터 공학 지식 및 AI 기술에 대한 높은 수준의 이해가 있으신 분"
포지큐브(POSICUBE),-,연봉업계평균이상,"서울특별시 강남구 역삼1동 823-30 라인빌딩 10층, 11층, 12층",딥러닝,"- 최신의 딥러닝 학습 모델 개발, 최적화- 대규모 언어모델 학습 및 최적화- 대규모 언어모델 학습 데이터 수집 및 전처리","+ 인공지능 및 머신러닝 연구 개발 경험+ Python, Pytorch, Tensorflow 사용 가능+ 컴퓨터 공학 학사 또는 이상의 학위+ 딥러닝 관련 연구실 출신 우대"
한국딥러닝,-,-,"서울특별시 서초구 강남대로 537, 브랜드칸 타워 6층",딥러닝,- Text Detection / Text Recognition / E2E OCR 모형 개발- Document Understanding- 모형 최적화- Edge 장비에 맞는 경량화 기술 연구- Table Parsing- Watermark 제거,"- OCR 시스템의 구조를 알고 이를 딥러닝 모형으로 구현이 가능하신 분- 딥러닝 서비스 배포를 위한 기본적인 구조를 알고 계신 분- 딥러닝 프레임워크 (Pytorch, Tensorflow 등) 사용에 익숙하신 분- 딥러닝 방식을 적용한 OCR 문자 인식 경험이 있으신 분- 기존 OCR 모델을 최적화 혹은 고도화 시킨 경험이 있으신 분"
한국딥러닝,-,-,"서울특별시 서초구 강남대로 537, 브랜드칸 타워 6층",딥러닝,", 딥러닝 기반 3D Reconstruction, Generation 분야 리서치, 3D-Text Multimodal (Clip-Forge 등) 분야 응용 및 리서치, 데이터 구축 및 딥러닝 아키텍처 설계 및 구축",", 학력 : 석사 이상, 딥러닝, 머신러닝에 대한 깊은 이해를 기반으로 한 AI 서비스 개발 경험자, 3D 데이터셋 분석 및 처리 역량 보유 (Open3d 등), Pytorch 기반 해당 분야 최신 딥러닝 논문 기술에 대한 (ex. Latent Diffusion, NeRF, Instant-NGP, Dreamfusion, LION 등) 구현 및 응용 역량 보유, 3D Generation, 3D Reconstruction 방법론에 대한 새로운 아이디어가 있으신 분, Git-flow 및 프로젝트 관리 툴을 통한 플랜 설정 및 협업 능력을 보유하신 분, Docker, Kubernetes를 통한 학습, 추론 서버 구축 및 관리 역량을 보유하신 분"
슈어소프트테크,3년,연봉업계평균이상,성남시 수정구 금토로80번길 37(금토동),딥러닝,", 머신러닝/딥러닝 관련 개발, 머신러닝/딥러닝 서비스 운영 시스템 설계 및 구현",", 관련 분야 3년 이상 경력자, C/C++/Python 숙련자, Tensorflow/Pytorch 숙련자, 머신러닝/딥러닝 이론에 대한 숙련된 이해도, 딥러닝 프레임워크 저수준 활용 및 디버깅 경험, NLP 모델 개발 및 튜닝 경험, 딥러닝 모델 경량화 경험, 딥러닝 적대적 샘플 생성 등 모델 검증 방법론에 대한 연구 및 고민 경험"
클라모스,2년,-,구로구 디지털로 242 \u200b(구로한화비즈메트로1차) 709호,딥러닝,■ 담당업무 :- Computer vision 분야의 선행 기술 조사 및 연구- Computer vision 관련 알고리즘 개발- 특허 등 기술문서 작성,"■ 자격요건- Computer vision 또는 Machine learning 관련 석사학위 이상 보유 또는 관련 경력 2년 이상의 학사학위 보유자- Computer vision 관련 프로젝트 수행 경험자- Python 개발 가능자■ 우대사항- Deep learning framework (Pytorch, Tensorflow 등) 사용 가능자- Computer vision 또는 Machine learning 관련 논문 / 특허 작성 경험자- Multi-modal (Image + Text) Learning 경험자- Machine learning model 배포 경험자"
클레온,2년,-,"서울특별시 중구 소월로2길 30, T타워 18층",딥러닝,"1) 딥러닝 네트워크 고도화* CV : Computer Vision* Generative Model (Super Resolution, Latent Search, 3D Modeling, Facial Animation Generation, Body Generation, Stable Diffusion, etc)* Discriminative Model (Face Detection, Face Segmentation, Landmark Detection, etc)2) 이 외 신기술 개발* Multimodal Model (CLIP, Lip Sync Generation, etc)* Meta Learning (Few-shot Learning, Continual Learning, etc)","딥러닝 경력 2년 이상 (석사 이상 경력 인정)PyTorch, Tensorflow 사용 경험딥러닝 혹은 유사 분야 논문 작성 경험논문 해석 및 Oral Presentation 이해 가능한 수준의 영어 실력새로운 연구에 대해 적극적이고 주도적인 분Product/Data Centric AI를 경험해보신 분최신 기술 트렌드를 빨리 캐치하고 적용할 수 있는 분"
허드슨에이아이,3년,-,"강남구 테헤란로 217, 오렌지플래닛",딥러닝,", 영상: GAN, Diffusion 등 생성 AI 기반 입모양 합성 모델 개발 및 고도화, 음성: 다국어 음성 합성 모델 개발 및 고도화",", AI, CS 관련 학사 이상의 학위를 보유하신 분, 딥러닝 모델 개발 프로젝트 경험이 있으신 분, Python, Torch 사용에 능숙하신 분, Generative AI 관련 개발 경험이 있으신 분, AI 관련 석사 학위를 보유하신 분, 유관 경력 3년 이상이신 분, 멀티모달 AI 개발에 관심있으신 분, GCP, Git, Docker 개발 환경에 능숙하신 분"
다비오(Dabeeo),3년,-,"서울 마포구 마포대로 144 (공덕동, 마포T타운) 8층",딥러닝,"- Computer Vision 및 Deep learning 모델 설계, 구축, 테스트 프로젝트(semantic segmentation, object detection, classification)- 공간 데이터 분석 및 3D 모델 재구성","- 관련 분야 업무 경력 3년 이상- 머신러닝/딥러닝 연구 경험 및 경력이 있으신 분- Python 경험과 이해- OpenCV, Tensorflow, PyTorch 경험 또는 이해도- 기본적인 이미지 처리와 ML/DL 개념의 이해- Shapely, Fiona, Geopandas 이용한 지리공간 데이터 분석 경험- 기본 수학능력 보유자(선형대수학, 확률, 통계학 등)- 3D geometry, graphics 에 대한 이해- 연구개발 분야 협업 경험- Computer vision / AI / ML 분야의 C++ 프로그래밍, UNIX 시스템 사용 경험- 탁월한 문제 정의/해결 능력"
테서,-,-,"강남구 언주로 544, 4층 테서",딥러닝,"비전 파트- CT, MRI 의료 영상과 전문 영역의 데이터를 활용한 AI 모델 개발- 의료 이미지 또는 전문 영역 데이터 기반 Segmentation 알고리즘 연구","- 이미지 데이터 기반의 인공신경망 구축 관련 지식을 갖고 계신 분- Python을 이용한 데이터 분석 및 딥러닝 알고리즘 연구 경험이 있으신 분- Pytorch, Keras, Tensorflow 등 딥러닝 프레임워크를 사용한 학습 레이어 구현 및 Fine Tuning이 가능하신 분- 딥러닝을 이용한 2D 또는 3D 이미지 Segmentation 연구 경험- 병원 협업 또는 의료 영상 관련 딥러닝 프로젝트 경험- 개발한 AI 모델로 논문 작성 경험- 딥러닝 분야 석사 이상 학위 보유자- Pytorch 프레임워크에 능숙하신 분"
